Sl. No.	Graph (Quantitaive)	Question	Choice A	Choice B	Choice C	Choice D	Correct  Answer	Solution Explanation	Difficulty	Question  Type
22		Persuasion is an 1817 novel by Jane Austen. In the novel, Austen highlights Anne Elliot’s capacity for sound judgment and her quiet ability to influence the behavior and spirits of those around her, particularly during times of distress: ______  Which quotation from Persuasion most effectively illustrates the claim?	A. “Anne, at seven-and-twenty, thought very differently from what she had been made to think at nineteen. She did not blame Lady Russell, she did not blame herself for having been guided by her; but she felt that she would have been a happier woman if she had been allowed to follow her own judgment.”	B. “Anne’s object was, not to be in the way of any body; and where the progress of the party was slow, she would step aside to be out of the path, or stay behind to watch the others.”	C. “Anne was the person to whom the others was constantly referring. She was the only one who could decide between the conflicting claims of the sisters, or soothe the irritable pride of their father.”	D. “Anne was the one to suggest what was to be done, and the one to whom every thing was referred; and her cool head and steady voice soon brought the others to a more rational state of mind, so that they were able to act with some degree of composure.”	D	Choice D is the best answer because it directly illustrates Anne’s "quiet ability to influence the behavior and spirits of those around her." The passage notes that her "cool head and steady voice" were able to bring others to a "more rational state of mind," showing a direct transformation in their emotional state and behavior due to her influence.  Choice A is incorrect. While it mentions Anne’s "judgment," it focuses on her internal reflection on the past and her regret over being guided by others, rather than her current ability to influence those around her.  Choice B is incorrect. This quotation describes Anne’s tendency to be modest and "out of the way," which characterizes her personality but does not demonstrate any active influence on other people.  Choice C is incorrect. Although it shows that others "refer" to her and that she can "soothe" them, Choice D is a stronger illustration of the claim because it specifies a time of distress ("cool head") and a clear result of her influence ("brought the others to a more rational state of mind").	Medium	Command of Evidence - Textual
23		The Marrow of Tradition is a 1901 novel by Charles W. Chesnutt. In the novel, the character of Tom Delamere is often portrayed as a man whose meticulously polished appearance is meant to signal a social status and moral refinement that he does not actually possess: ______  Which quotation from The Marrow of Tradition most effectively illustrates the claim?	A. “His clothes were always of the finest material and the most perfect fit, serving as a sort of exquisite casket for a very meager and unlovely soul.”	B. “He was a very handsome young man, with a face that would have been almost effeminate but for the dark mustache and the straight line of the jaw.”	C. “He took a great deal of pride in his hands, which were small and white, and he spent much time in manicuring his nails until they shone like mother-of-pearl.”	D. “Tom Delamere was dressed in a suit of the latest fashion, which he wore with an air of easy nonchalance, as if he were to the manner born.”	A	Choice A is the best answer because it directly illustrates the claim that his appearance is meant to signal a status or refinement that he "does not actually possess." By describing his fine clothes as an "exquisite casket" for an "unlovely soul," the narrator explicitly contrasts the outward beauty with the inward moral failure.  Choice B is incorrect. This quotation provides a purely physical description of Tom Delamere’s facial features ("handsome," "effeminate," "dark mustache"). It does not address his clothing or the tension between his appearance and his character.  Choice C is incorrect. Although this shows his vanity regarding his physical grooming (his hands and nails), it does not connect this vanity to a broader social deception or a lack of internal substance, as Choice D does.   Choice D is incorrect. While this describes his fashionable dress and his "air of easy nonchalance," it focuses on his social ease rather than the deceptive nature of his appearance or the lack of true moral refinement.	Medium	Command of Evidence - Textual
24		"The Prelude" is an autobiographical poem by William Wordsworth, published posthumously in 1850. In the poem, the speaker reflects on his spiritual development and asserts that his true intellectual and emotional restoration is found not in philosophical books, but in a direct, physical engagement with the rugged landscapes of his youth: ______  Which quotation from "The Prelude" most effectively illustrates the claim?	A. "Whate’er in those high objects had endured / To check the over-activity of thought, / Or to enliven it, ’twas more for me / Than what I learned from books of history or law."	B. "I looked for universal things; perused / The performances of age and time / With a prescriptive eye, and sought to learn / The truth of what is excellent and good."	C. "I roamed from hill to hill, from rock to rock, / Still craving combinations of new forms, / New pleasure, wider empire for the sight, / Proud of my own enjoyments, and soothed / By the sweet breath of Heaven."	D. "The world is too much with us; late and soon, / Getting and spending, we lay waste our powers;— / Little we see in Nature that is ours; / We have given our hearts away, a sordid boon!"	C	Choice C is the best answer because it directly illustrates the claim of "direct, physical engagement with the rugged landscapes." The speaker describes the active movement of "roaming from hill to hill, from rock to rock" and the sensory experience of seeking "wider empire for the sight" and the "sweet breath of Heaven." This shows a physical immersion in the countryside as a source of restoration and pleasure.  Choice A is incorrect. While this quotation contrasts nature ("those high objects") with "books," it focuses more on the effect of nature on the speaker's thoughts (checking "over-activity") rather than the physical engagement with the landscape itself.  Choice B is incorrect. This passage describes an intellectual or philosophical search for "universal things" and "truth." It portrays an analytical mindset ("prescriptive eye") rather than the physical experience of the countryside.  Choice D is incorrect. This is actually a quotation from a different Wordsworth poem ("The World Is Too Much With Us"). Even if it were from "The Prelude," it expresses a general lament about society's disconnect from nature rather than the speaker's personal determination to engage physically with the landscape.	Medium	Command of Evidence - Textual
25		Quicksand is a 1928 novel by Nella Larsen. In the novel, the narrator portrays the protagonist, Helga Crane, as someone who values sophisticated aesthetic and intellectual environments to the point of being unable to tolerate any community that she perceives as lacking in refinement: ______  Which quotation from Quicksand most effectively illustrates the claim?	A. “Helga Crane was not a person of large ideas. She was, in fact, almost entirely lacking in that quality which makes for the success of social workers or missionaries.”	B. “She was interested in only two things: the beauty of her surroundings and the cultivation of her own mind. For the problems of others, she felt a profound and unwavering indifference.”	C. “She found the life at Naxos too narrow, too restricted, and the people too unimaginative. She hated the smallness of it all, the emphasis on the petty details of a dull existence.”	D. “Her room was a place of quietness and peace. Here she could forget the noise of the school and the sharp tongues of the faculty, which so often wounded her sensitive spirit.”	B	Choice B is the best answer because it directly illustrates the claim that Helga values specific intellectual/aesthetic traits to the exclusion of all other qualities. By stating she was "interested in only two things" (beauty and cultivation of mind) and felt "profound and unwavering indifference" toward others' problems, the text confirms her exclusive focus on refinement over human empathy or social duty.  Choice A is incorrect. While it suggests Helga lacks certain qualities (social service), it doesn't establish that she admires aesthetic refinement in others or that she excludes other qualities based on that specific value.  Choice C is incorrect. This quotation describes Helga’s dislike of a specific place (Naxos) and its people, but it doesn't explicitly state that her interest in people is restricted only to their aesthetic or intellectual sophistication.  Choice D is incorrect. This passage focuses on Helga’s need for personal sanctuary and her sensitivity to criticism, rather than her criteria for judging or valuing other people.	Medium	Command of Evidence - Textual
26		The "scarcity heuristic" is a psychological phenomenon where consumers attribute higher value to an object that is perceived as rare or difficult to obtain. In his 1954 study, social psychologist Leon Festinger suggests that this behavior is not merely about the physical availability of a product, but rather a reaction to the perceived social competition for a limited resource. A student in a marketing seminar argues that a consumer's desire for a product increases specifically when they believe that other people are responsible for the dwindling supply.  Which quotation from a participant in a consumer behavior study best supports the student's argument?	A. "I had been planning to buy that specific model of watch for months, but when I finally got to the store and saw only one left in the display case, I felt a sudden rush of anxiety and bought it immediately."	B. "The salesperson told me that the shipment was delayed due to a storm at sea, so they only had two jackets left in my size. Knowing it was just a weather issue made me realize I could probably just wait until next week."	C. "I wasn't particularly interested in the limited-edition sneakers until I saw the massive line of people outside the shop; seeing how many others were desperate to get a pair made me feel like I was missing out on something essential."	D. "I usually prefer to buy items that are unique and not owned by everyone else, so when I saw that the store was completely stocked with the new phone, I decided to look for a different brand instead."	C	Choice C is the best answer because it directly supports the student's claim that desire increases when the consumer believes "other people are responsible for the dwindling supply." By noting that the participant only became interested after seeing "the massive line of people" and realizing "how many others were desperate to get a pair," the text illustrates a reaction to social competition rather than a simple lack of inventory.  Choice A is incorrect. While it describes a reaction to scarcity (only one watch left), it does not specify why the supply is low. It illustrates the scarcity heuristic in general, but not the specific "social competition" aspect of the student's claim.  Choice B is incorrect. This quotation actually weakens the student's argument. In this scenario, the scarcity is caused by a "storm at sea" (an impersonal force). The participant decides they can wait, which suggests that scarcity not caused by other people fails to trigger the same urgency.  Choice D is incorrect. This passage describes "snob effect" or a desire for uniqueness. The participant is turned off by high supply, but it doesn't demonstrate an increased desire driven by social competition for a limited resource.	Medium	Command of Evidence - Textual
27		"An Hymn to the Morning" is a 1773 poem by Phillis Wheatley. In the poem, Wheatley personifies the morning as a celestial force and appeals to it to inspire her creative process and provide her with the poetic power necessary to compose her verses: ______  Which quotation from "An Hymn to the Morning" most effectively illustrates the claim?	A. "Attend my lays, ye ever med’ling nine, / Assist my labours, and my strains refine; / In smoothest numbers pour the notes along."	B. "See in the east th’ illustrious king of day! / His rising radiance drives the shades away— / But Oh! I feel his fervid beams too strong."	C. "Ye shady groves, your verdant gloom display / To shield your poet from the burning day: / Calliope awake the sacred lyre."	D. "Aurora hail, and all the thousand dyes, / Which deck thy progress through the vaulted skies: / The morn awakes, and wide extends her rays."	A	Choice A is the best answer because it directly illustrates the claim that Wheatley is appealing for inspiration and poetic power. By addressing the "ever med’ling nine" (the Muses) and imploring them to "Attend my lays" (songs/poems), "Assist my labours," and "refine" her strains so that her notes are poured in "smoothest numbers," she is explicitly asking for divine help in her creative process.  Choice B is incorrect. This quotation describes the physical presence of the sun ("illustrious king of day") and the speaker's physical reaction to its heat ("fervid beams too strong"). It does not show an appeal for creative inspiration.  Choice C is incorrect. While Wheatley mentions "Calliope" (the Muse of epic poetry) and the "sacred lyre," this passage is primarily a request for the "shady groves" to provide physical protection (shade) from the sun, rather than a direct petition for the power to compose the poem itself.  Choice D is incorrect. This quotation is a celebratory greeting ("hail") to Aurora (the dawn) and a description of her colors ("thousand dyes") in the sky. It identifies the subject of the poem but does not contain the request for assistance in the creative act.	Medium	Command of Evidence - Textual
28		The Jungle is a 1906 novel by Upton Sinclair. In the novel, Sinclair portrays Jurgis Rudkus, a Lithuanian immigrant working in the Chicago stockyards, as a man whose initial strength and tireless commitment to his grueling labor are his primary sources of pride and identity: ______  Which quotation from The Jungle most effectively illustrates the claim?  	A. “He had a sense of the vastness of the place, and of the power of the great machines; it was all very wonderful to him, and he felt a certain awe in the presence of it.”	B. “He was like a natural force himself; he was the spirit of the labor that he did. He would go about his work with a sort of frenzy, his eyes fixed, his muscles tense, and a look of grim determination upon his face.”	C. “It was a world in which a man’s only right was the right to work; and Jurgis was grateful for the chance to sell his strength, for it was all that he had to offer in exchange for bread.”	D. “He saw the great pens where the cattle were kept, and the long chutes through which they were driven to the killing beds; and he realized for the first time the scale of the industry of which he was now a part.”	B	Choice B is the best answer because it directly illustrates the claim that Jurgis's labor is his "primary source of pride and identity" and shows his "tireless commitment." By describing him as a "natural force himself" and the "spirit of the labor," and detailing his physical "frenzy" and "tense" muscles, the text portrays him as being entirely defined by and dedicated to his work.  Choice A is incorrect. This quotation describes Jurgis’s "awe" and wonder at the machines and the size of the factory. While it shows his initial impression of the workplace, it does not demonstrate his personal commitment or identity as a worker.  Choice C is incorrect. While this describes Jurgis’s gratitude for having a job and his realization that his strength is his only asset, it focuses more on his economic necessity than on the personal pride and physical dedication described in the claim.  Choice D is incorrect. This passage focuses on Jurgis’s observation of the industrial scale of the stockyards. It provides a description of the setting rather than an illustration of his individual work ethic or character.	Medium	Command of Evidence - Textual
29		The Hebrew language is often cited as the only successful example of a "dead" language being revived as a national primary tongue. However, in an essay on the development of Modern Hebrew, a student argues that the revival was not a simple restoration of the Biblical form, but rather a complex linguistic synthesis that adapted ancient structures to accommodate the practical and conceptual needs of the twentieth century.  Which quotation from a linguistic analysis of the Hebrew revival best supports the student’s claim? 	A. "The revival began in the late nineteenth century with Eliezer Ben-Yehuda, who insisted that his family speak only Hebrew, even though the language lacked modern terms for common household objects like 'doll' or 'bicycle.'"	B. "Archaeological discoveries, such as the Dead Sea Scrolls, have provided modern speakers with a deeper understanding of how Hebrew was spoken during the Second Temple period, bridging a gap of nearly two millennia."	C. "While the vocabulary of Modern Hebrew is rooted in the Old Testament, its syntax and tense system have been significantly reshaped by the European languages spoken by the early revivalists, creating a hybrid grammar that allows for nuances of time and action found in Western prose."	D. "The Academy of the Hebrew Language continues to meet regularly in Jerusalem to determine which foreign loanwords should be officially incorporated into the lexicon and which should be replaced by newly minted Hebrew roots."	C	Choice C is the best answer. The student's claim is that the revival was a "complex linguistic synthesis" that "adapted ancient structures" to modern needs. Choice B explicitly supports this by explaining that while the vocabulary is ancient/Biblical, the syntax and tense system were "reshaped" by European languages. This "hybrid grammar" is the exact synthesis the student is describing—a blend of the old and the new to allow for modern nuances.  Choice A is incorrect. This provides a historical anecdote about the founder of the revival and the lack of certain words. While it shows the need for modernization, it does not describe the structural synthesis mentioned in the claim.  Choice B is incorrect. This focuses on historical continuity and archaeological discovery. It emphasizes the "bridge" to the past rather than the adaptation and synthesis required for modern usage.  Choice D is incorrect. This describes the institutional management of the language (the Academy). While this is a part of the language's life, it focuses on modern lexicon (vocabulary) rather than the structural adaptation and synthesis of the language's core grammar.	Medium	Command of Evidence - Textual
30		The King of the Dark Chamber is a 1910 play by Rabindranath Tagore. In the play, Queen Sudarshana is often confined to her palace, much like the character Amal in Tagore’s The Post Office. The narrator suggests that Sudarshana views the simple, rhythmic labor of commoners not as a burden, but as a form of liberation that she herself lacks: ______  Which quotation from The King of the Dark Chamber most effectively illustrates the claim?	A. “Look at those women carrying their water-pitchers; they walk with such a light grace, as if their toil were a dance. I feel that their heavy burdens are lighter than my idle crown.”	B. “The festival of the full moon of spring has come, and the air is full of the smell of the mango-blossoms. I cannot remain shut up in this dark room any longer.”	C. “My King, you have hidden yourself from me in this darkness, and I am left to wonder at the meaning of your silence while the world outside is full of song.”	D. “I have heard that in the far-off village, the peasants are singing at their plows; they do not know the grief of queens or the weight of palace walls.”	B	Choice B is the best answer because it directly illustrates the claim that Sudarshana views simple labor as "liberation" and "not a burden." By comparing the women’s toil to a "dance" and explicitly stating that their "heavy burdens are lighter than my idle crown," she demonstrates her perception that their work provides a lightness and freedom that her royal status denies her.  Choice A is incorrect. This quotation expresses Sudarshana's desire to leave her room because of the season (spring), but it does not specifically address her view of other people's labor or compare it to her own situation.  Choice C is incorrect. This passage focuses on Sudarshana’s relationship with the King and her internal state of confusion regarding his absence. It does not mention the labor of commoners.  Choice D is incorrect. While this quotation mentions peasants singing and suggests they are free from "palace walls," it focuses on their lack of knowledge regarding her grief rather than Sudarshana’s specific perception of their physical labor as a graceful or enviable "dance."	Medium	Command of Evidence - Textual
31		"Crossing Brooklyn Ferry" is an 1856 poem by Walt Whitman. In the poem, Whitman contemplates the shared human experience across different generations. He suggests that time and distance are no barrier to the intimate connection he shares with those who will live in the future, writing: ______  Which quotation from "Crossing Brooklyn Ferry" most effectively illustrates the claim?	A. "It avails not, time nor place—distance avails not, / I am with you, you men and women of a generation, or ever so many generations hence."	B. "Others will enter the gates of the ferry and cross from shore to shore, / Others will watch the run of the flood-tide."	C. "The simple, compact, well-join’d scheme, myself disintegrated, every one disintegrated yet part of the scheme."	D. "What is it then between us? / What is the count of the scores or hundreds of years between us?"	A	Choice A is the best answer because it most effectively illustrates the claim that time and distance do not prevent Whitman from sharing an intimate connection with future readers. He explicitly states that "time nor place" and "distance" do not matter ("avails not") because he is "with you" (the reader) even many "generations hence."  Choice B is incorrect. While this quotation acknowledges that people will continue to cross the ferry in the future, it merely describes their physical actions rather than asserting a deep, intimate connection between the speaker and those future individuals.  Choice C is incorrect. This passage discusses a philosophical "scheme" of unity and disintegration, but it does not directly address the specific claim regarding Whitman's personal connection to the reader across time.  Choice D is incorrect. This quotation asks a rhetorical question about the gap between the speaker and the reader ("What is it then between us?"). While it sets up the theme of the poem, it does not provide the evidence of the connection itself as effectively as Choice A, which provides the affirmative answer that he is "with" them.	Medium	Command of Evidence - Textual
32		Michael Chabon is a contemporary American novelist known for his meticulous attention to historical detail and his background in architectural history and archival research. In a comparative literature essay, a student argues that Chabon’s fiction is uniquely shaped by his "archivist’s sensibility," wherein he constructs his narratives using the same rigorous evidentiary standards one might expect from a professional historian or museum curator.  Which quotation from a scholarly review of Chabon’s work best supports the student’s claim?	A. “Chabon’s early career was marked by a series of short stories that appeared in high-profile magazines, many of which focused on the domestic lives of young men in late 20th-century California.”	B. “In preparation for his novel set in the 1940s, Chabon spent years scouring forgotten municipal records and blueprints of New York City to ensure that every street corner and building facade in his fictional world corresponded to a documented reality.”	C. “While Chabon is clearly a master of the English language, his characters often seem to be more interested in the physical objects of the past—such as old comic books or vinyl records—than they are in the people around them.”	D. “It is a common trope in Chabon’s work to feature a protagonist who is himself an obsessive collector, mirroring the author’s own well-documented interest in the preservation of 20th-century popular culture.”	B	Choice B is the best answer because it provides direct evidence of Chabon applying "archivist’s" or "historian’s" techniques—specifically "scouring forgotten municipal records and blueprints"—to the creation of his work of fiction. This demonstrates the "rigorous evidentiary standards" mentioned in the student's claim by showing how the author uses primary source documents to build his fictional world.  Choice A is incorrect. This quotation provides historical facts about Chabon’s career and the subject matter of his early stories, but it does not address his research methodology or an "archivist's sensibility."  Choice C is incorrect. While this describes a theme in Chabon’s writing (a focus on physical objects), it describes the content of the books rather than the technique or "sensibility" the author used to craft the narrative.  Choice D is incorrect. This choice points out a "trope" or a recurring character type (the obsessive collector) that mirrors Chabon's hobbies, but it does not confirm that Chabon himself applied professional archival methods to the construction of his fiction.	Medium	Command of Evidence - Textual
33		Lady Windermere’s Fan is an 1892 play by Oscar Wilde. In the play, Wilde satirizes the high society of London by portraying characters whose outward appearances of sophistication often mask deep-seated insecurities. One such character is Cecil Graham, who is perceived by his peers as a witty and insightful commentator on social life, yet is simultaneously described as someone whose cleverness is driven entirely by a desperate need for attention: ______  Which quotation from Lady Windermere’s Fan most effectively illustrates the claim?	A. “Cecil Graham is one of those young men who, having nothing to do, do it with an air of great industry and remarkable success.”	B. “I never talk to Cecil Graham if I can help it. He is far too clever for me; he always makes me feel that I have said something foolish, even when I haven’t.”	C. “Cecil Graham? Oh, he is a man who is always saying bright things, but he only says them so that people may look at him. He has the vanity of a peacock and the heart of a schoolgirl.”	D. “My dear Cecil, you are far too young to be so cynical. Cynicism is merely the art of seeing things as they are instead of as they ought to be.”	C	Choice C is the best answer because it illustrates both parts of the claim. It acknowledges his reputation for being "witty and insightful" (he is "always saying bright things") but immediately pairs this with the evidence of his "desperate need for attention" (he says them "so that people may look at him") and his extreme vanity ("vanity of a peacock").  Choice A is incorrect. While this is a classic Wildean epigram about Graham's lifestyle and "air of industry," it focuses on his lack of productivity rather than the specific tension between his social wit and his underlying vanity.  Choice B is incorrect. This quotation focuses on the effect Graham has on others—making them feel foolish—but it does not address his internal motivation or the "need for attention" mentioned in the claim.  Choice D is incorrect. This is a bit of dialogue addressed to Cecil Graham regarding his cynicism. While it characterizes his world view, it does not illustrate how he is perceived by others in terms of his vanity or social performance.	Medium	Command of Evidence - Textual
34		A Doll’s House is an 1879 play by Henrik Ibsen. In the play, the protagonist Nora Helmer has lived a life largely defined by the expectations of her father and her husband, Torvald. A student claims that Nora’s eventual decision to leave her family is rooted in her realization that she has never been allowed to develop a genuine individual identity or form her own opinions: ______  Which quotation from a translation of A Doll’s House most effectively illustrates the claim?	A. “Ten years I’ve been waiting for you; and you’ve never come. You’ve never stood by me when I needed you.”	B. “I have been performing tricks for you, Torvald. That’s how I’ve lived. You and papa have committed a great sin against me. It is your fault that I have made nothing of my life.”	C. “Our home has been nothing but a playroom. I have been your doll-wife, just as at home I was papa's doll-child; and here the children have been my dolls.”	D. “When I was at home with papa, he told me his opinion about everything, and so I had the same opinions; and if I differed from him I concealed the fact, because he would not have liked it. He called me his doll-child.”	D	Choice D is the best answer because it directly illustrates the claim that Nora was never allowed to "form her own opinions" or develop an "individual identity." It explicitly describes how she adopted her father's opinions to please him and "concealed the fact" when she differed, directly supporting the idea that her identity was a mere reflection of the men in her life.  Choice A is incorrect. This quotation focuses on Nora's disappointment in Torvald's failure to protect or support her ("never stood by me"), rather than the specific lack of her own individual identity or independent thought.  Choice B is incorrect. While this quotation expresses Nora’s frustration that she has "made nothing of her life," it describes her life as a series of "tricks" (performances) for her husband. It focuses on her lack of achievement rather than the specific suppression of her personal opinions and intellectual identity.  Choice C is incorrect. This choice provides a famous metaphor for Nora’s lack of agency—being a "doll-wife"—but it focuses more on the environment (the "playroom") and her role as an object of play rather than the specific mechanism of intellectual suppression mentioned in the claim (the inability to form her own opinions).	Easy	Command of Evidence - Textual
35		My Ántonia is a 1918 novel by Willa Cather. In the novel, the narrator, Jim Burden, describes his arrival in Nebraska as a young boy. The student claims that despite the vast and unfamiliar landscape, Jim quickly develops a sense of peace and belonging within the natural world of the prairie: ______  Which quotation from My Ántonia most effectively illustrates the claim?.	A. "I had the feeling that the world was left behind, that we had got over the edge of it, and were outside man’s jurisdiction."	B. "There was nothing but land: not a country at all, but the material out of which countries are made."	C. "I was entirely happy. Perhaps we feel like that when we die and become part of something entire, whether it is sun and air, or goodness and knowledge."	D. "The road ran about like a wild thing, avoiding the deepest gullies, following the natural grading out of the country."	C	Choice C is the best answer because it directly states Jim’s emotional state ("entirely happy") and his sense of "becoming part of something entire" (belonging) within the natural elements like the "sun and air." This provides the clearest evidence of the peace and belonging mentioned in the claim.  Choice A is incorrect. While this describes Jim's impression of the landscape, it emphasizes a sense of isolation and being "outside man’s jurisdiction," which sounds more like displacement than peaceful belonging.  Choice B is incorrect. This is a famous description of the raw Nebraska territory, but it focuses on the physical nature of the land ("the material out of which countries are made") rather than Jim’s emotional connection to it.  Choice D is incorrect. This quotation describes the physical layout of the road. While it personifies the road as a "wild thing," it does not address Jim’s internal feelings or his sense of belonging 	Easy	Command of Evidence - Textual
36		"Song of Myself" is a famous 1855 poem by Walt Whitman. In the poem, the speaker expresses a desire to cast aside formal education and social conventions in order to experience nature in its purest, most unmediated form: ______  Which quotation from "Song of Myself" most effectively illustrates the claim?	A. "Creeds and schools in abeyance, / Retiring back a while sufficed at what they are, but never forgotten, / I harbor for good or bad, I permit to speak at every hazard, / Nature without check with original energy."	B. "The smoke of my own breath, / Echoes, ripples, buzz’d whispers, love-root, silk-thread, crotch and vine."	C. "I am large, I contain multitudes."	D. "I celebrate myself, and sing myself, / And what I assume you shall assume, / For every atom belonging to me as good belongs to you."	A	Choice A is the best answer because it directly supports the claim that the speaker wants to cast aside formal learning for a pure experience of nature. The speaker explicitly mentions putting "creeds and schools in abeyance" (setting them aside) to allow for "Nature without check with original energy."  Choice B is incorrect. While this quotation provides sensory details of the natural world, it does not mention the rejection of "creeds and schools" or formal education.  Choice C is incorrect. This is a famous statement about the complexity of the human identity, but it does not address the speaker's relationship with nature or the casting aside of social conventions.  Choice D is incorrect. This choice illustrates the speaker's connection to the reader and his sense of self-celebration, but it does not specifically address the desire to bypass formal education for an unmediated natural experience.	Easy	Command of Evidence - Textual
37		The Strange Case of Dr. Jekyll and Mr. Hyde is an 1886 novella by Robert Louis Stevenson. In the story, the lawyer Mr. Utterson visits the neighborhood where Edward Hyde lives. The student claims that Utterson perceives the district as being dismal and unsettling: ______  Which quotation from The Strange Case of Dr. Jekyll and Mr. Hyde most effectively illustrates the claim?	A. "The lawyer stood awhile when Mr. Hyde had left him, the picture of disquietude. Then he began slowly to mount the street, pausing every step or two and putting his hand to his brow like a man in mental perplexity."	B. "The dismal quarter of Soho seen under these changing glimpses, with its muddy ways, and slatternly passengers, and its lamps, which had never been extinguished or had been kindled afresh to combat this mournful reinvasion of darkness, seemed, in the lawyer’s eyes, like a district of some city in a nightmare."	C. "It was by this time about nine in the morning, and the first fog of the season. A great chocolate-coloured pall lowered over the heaven, but the wind was continually charging and routing these embattled vapours."	D. "The door, which was equipped with neither bell nor knocker, was blistered and distained. Tramps slouched into the recess and struck matches on the panels."	B	Choice B is the best answer because it provides the most direct evidence of Utterson’s negative perception of the district. It uses explicit adjectives like "dismal" and "mournful," and concludes with the direct comparison that the area seemed "like a district of some city in a nightmare" in his eyes.  Choice A is incorrect. While it describes Utterson’s "disquietude" and "mental perplexity," this is a reaction to his conversation with Mr. Hyde, not a description of his feelings toward the neighborhood itself.  Choice C is incorrect. This passage describes the weather (the fog) and the sky. While the atmosphere is gloomy ("chocolate-coloured pall"), it is a general description of the city's conditions rather than Utterson’s specific judgment of the district as dismal or nightmare-like.  Choice D is incorrect. This choice provides a physical description of a specific door and the people nearby. While the details are gritty, it does not explicitly state Utterson's emotional or psychological view of the district as effectively as Choice B does.	Easy	Command of Evidence - Textual
38		The Death of Ivan Ilyich is an 1886 novella by Leo Tolstoy. In the story, the author describes the home of the protagonist, Ivan Ilyich, as being designed with great care to appear elegant and upper-class. However, the narrator suggests that the final result was actually quite ordinary and indistinguishable from the homes of other wealthy people of his social circle: ______  Which quotation from The Death of Ivan Ilyich most effectively illustrates the claim?	A. “In reality it was just what is usually seen in the houses of people of moderate means who want to appear rich, and therefore succeed only in resembling one another.”	B. “The curtains, the wallpapers, the various antiques, and the spirited colors of the upholstery—all were exactly as he had envisioned them in his mind.”	C. “He was so interested in it that he often did things himself: he rearranged the furniture and rehung the curtains his own way.”	D. “Ivan Ilyich’s house was so large and so filled with many expensive items that it required a large staff of servants to keep it in proper order.”	A	Choice A is the best answer because it directly supports the claim that the home was "ordinary and indistinguishable" from others. The quotation explicitly states that the house was "just what is usually seen" and that these houses "succeed only in resembling one another."  Choice B is incorrect. This passage describes how the house matched Ivan Ilyich’s personal vision and aesthetic desires. While it lists the items in the house, it does not suggest that the result was common or unoriginal.  Choice C is incorrect. This choice focuses on Ivan Ilyich’s personal involvement and physical labor in decorating his home. It shows his interest in the project but does not provide evidence regarding the final social impression of the house.  Choice D is incorrect. This quotation emphasizes the size and cost of the house and the need for servants. While this speaks to the character’s wealth, it does not address the claim that the house lacked a unique identity or was indistinguishable from the homes of his peers.	Easy	Command of Evidence - Textual
39		Jane Eyre is an 1847 novel by Charlotte Brontë. In the story, the young protagonist Jane is locked in the "Red Room," a place she deeply fears because of its association with her late uncle. While the experience is terrifying, a student argues that this moment of extreme fear actually serves as a turning point that helps Jane discover her own inner strength and sense of self-worth: ______  Which quotation from Jane Eyre most effectively illustrates the claim?	A. "The red-room was a square chamber, very seldom slept in, the largest and stateliest chambers in the mansion. A bed supported on massive pillars of mahogany, hung with curtains of deep red damask, stood like a tabernacle in the centre."	B. "My heart beat thick, my head grew hot; a sound filled my ears, which I deemed the rushing of wings; something seemed near me; I was oppressed, suffocated; endurance broke down."	C. "I was a precocious actress in her eyes; she viewed me as a compound of virulent passions, mean spirit, and dangerous duplicity."	D. "I was beginning to feel a strange, new courage. I was not a child now, but a person with a will of my own, and I felt I had a right to be heard."	D	Choice D is the best answer because it directly supports the student's claim that Jane's fear led to "inner strength and sense of self-worth." It explicitly mentions a "strange, new courage" and Jane’s realization that she is a "person with a will of my own" who has a "right to be heard."  Choice A is incorrect. This provides a physical description of the Red Room itself. While it establishes the setting of her fear, it does not provide evidence of Jane's internal psychological development or newfound strength.  Choice B is incorrect. This describes the physical and emotional symptoms of Jane's terror—her racing heart and feeling of suffocation. While it illustrates her fear, it does not show the benefit or the "turning point" toward strength mentioned in the claim.  Choice C is incorrect. This quotation describes how Jane's aunt, Mrs. Reed, perceives her. It reflects Jane’s social situation and the negative labels placed upon her, rather than her own discovery of self-worth.	Easy	Command of Evidence - Textual
